date,open,high,low,close,volume,Name
2018-01-16,58.79,59.08,57.53,57.98,5283872,AAL
2018-01-12,56.56,58.73,56.56,58.47,7505761,AAL
2018-01-18,58.0,58.71,57.56,58.34,3969309,AAL
2018-01-19,58.59,58.59,57.76,58.06,3151201,AAL
2018-01-17,58.31,58.58,57.8,58.16,3148934,AAL
2018-01-23,57.74,58.46,57.4,58.29,3336991,AAL
2018-01-22,57.99,58.34,57.5305,58.1,3553916,AAL
2018-01-11,54.49,57.0,54.18,56.42,11339858,AAL
2015-01-26,55.89,56.2,54.73,55.45,13353937,AAL
2015-03-20,55.19,56.05,54.86,55.76,137767165,AAL
2015-01-23,55.4,55.98,54.8,55.69,9488822,AAL
2015-03-23,55.47,55.93,54.37,54.395,19042013,AAL
2015-01-22,54.52,55.82,53.91,55.59,16201053,AAL
2018-01-24,54.35,55.46,53.45,54.79,16348479,AAL
2015-03-19,54.57,55.24,54.45,55.19,18897709,AAL
2018-01-31,53.08,54.71,53.0,54.32,5962937,AAL
2014-12-31,53.9,54.64,53.32,53.63,11063024,AAL
2018-02-01,54.0,54.64,53.59,53.88,3623078,AAL
2015-01-02,54.28,54.6,53.07,53.91,10756705,AAL
2015-03-18,53.69,54.6,53.34,54.13,21324978,AAL
2018-01-25,54.0,54.55,52.21,53.05,10223096,AAL
2015-01-05,54.37,54.54,53.34,53.875,11565004,AAL
2015-01-27,53.99,54.52,52.54,52.695,19810717,AAL
2017-07-13,53.4,54.48,53.15,53.81,5346686,AAL
2015-01-06,54.27,54.43,52.13,53.04,13772171,AAL
2015-03-24,54.04,54.41,53.66,53.93,11940800,AAL
2018-01-04,52.48,54.4,52.265,52.67,3557059,AAL
2015-01-08,53.48,54.28,53.25,53.66,9672064,AAL
2017-07-14,53.8,54.28,53.34,54.22,4537895,AAL
2017-07-17,54.21,54.28,53.85,53.87,3727804,AAL
